ObjID,ra,dec,g,r
1237671125370339669,132.815630705026,11.8829792505417,14.87309,14.36129
1237671125370339902,132.824709116639,11.8897391858608,24.42355,24.3945
1237671125370340427,132.820562074725,11.8945389599174,25.04472,23.00706
1237671125370340369,132.773069885982,11.8591464272085,24.69089,22.58542
1237671125370339745,132.770486996045,11.8739147326453,14.06338,13.68858
1237671125370339748,132.772921561826,11.875582132083,16.24164,15.39181
1237671125370339756,132.773652606135,11.8740476956628,23.01922,22.51813
1237671125370340290,132.808911512746,11.9126404250639,21.69351,21.28907
1237671125370405242,132.828374947107,11.9050291829332,17.47917,16.32
1237671125370405539,132.92290007335,11.8725009464548,23.03382,22.30858
1237671125370405368,132.922750796471,11.8677885955306,21.73434,20.28058
1237671125370405301,132.919411015496,11.8685362365966,17.51323,16.31204
1237671262272291020,132.924548512123,11.8271112506758,15.52683,15.90537
1237671125370405090,132.923603523239,11.8406513527998,24.55889,22.6455
1237671125370405536,132.915041096894,11.8391002760967,22.73886,21.54032
1237671125370405089,132.923287609453,11.8335956773123,23.57227,22.20758
1237671125370405086,132.922381016587,11.834864868371,25.1579,24.83764
1237671125370405083,132.926386075141,11.8354495770349,12.25295,12.4354
1237671125370405087,132.929306589848,11.8386958159851,24.71963,23.22582
1237671262272290961,132.899301872791,11.8143041534968,14.57047,15.24648
1237671262272291029,132.893973979213,11.8185549362536,15.99253,15.14754
1237671125370405339,132.869799257093,11.9202293130395,20.81294,19.34713
1237671125370405577,132.86796778066,11.9083266168168,23.82148,24.05355
1237671125370405420,132.862239375051,11.9137466170374,22.30753,20.77263
1237671125370405516,132.851795977636,11.9138488110927,22.82764,22.31616
1237671125370405442,132.890765437636,11.9088911353487,21.73717,20.27509
1237671125370405051,132.88725662032,11.9131731536683,16.1767,15.45963
1237671125370405053,132.888799445599,11.9121982547275,19.59084,18.15273
1237671125370405530,132.890373207114,11.8951987882948,24.04033,22.29955
1237671125370405254,132.841565381137,11.9216250902047,19.88921,18.42218
1237671125370405330,132.838541960087,11.9138810885083,20.45246,18.96066
1237671125370405331,132.838512437949,11.9123890726741,22.20767,22.0931
1237671125370405333,132.841401347512,11.9147400280043,20.87896,19.41151
1237671125370405571,132.843013110117,11.9188852118607,23.72162,22.62496
1237671125370404981,132.838717133235,11.9040089865834,16.7392,15.8861
1237671125370405250,132.832011065727,11.9045439427934,17.9997,17.61503
