|name|alt_name_1|alt_name_2|ra|dec|vmag|spect_type|alt_name_3|alt_name_4|alt_name_5|lii|bii|ref_coords|ref_chart|open_cluster|ob_association|ref_oc_ob|other_correlations|ref_other|ref_spect_type|vmag_flag|bv_color|bv_color_flag|ref_mag|v_inf|ref_v_inf|period|binary_status|ref_binary_status|bv_color_0|e_bv|reddening|vmag_0|abs_vmag_wr|delta_m|abs_vmag_sys|true_dm|distance|z_distance|gc_distance|note_flag|class|
|WR 102a |CSE1          |          |17 45 48.50|-28 50 05.0|41.20|WN8             |               |           |              |  0.10808|  0.01765|CS99      |CS99     |Arches          |              |CS99                  |                                                           |                                                               |CS99          |         | 7.58   |             |       |      |         |                                      |                   |                                                   |-0.27     | 7.85|32.20    | 9.04 |-5.48      |       |            |  14.52|       8|         3| 0.0       |         |   WOLF RAYET STAR WN8|
|WR 102b |CSE2          |          |17 45 50.40|-28 59 19.8|42.60|WN6             |               |           |              |359.98011| -0.06851|CS99      |CS99     |Arches          |              |CS99                  |                                                           |                                                               |CS99          |         | 7.66   |             |       |      |         |                                      |                   |                                                   |-0.19     | 7.85|32.20    |10.49 |-4.09      |       |            |  14.52|       8|       -10| 0.0       |         |   WOLF RAYET STAR WN6|
|WR 102c |FMM96-1       |          |17 46 11.20|-28 49 05.6|42.60|WN6             |qF 353E        |           |              |  0.16528| -0.04453|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.66   |             |       |      |         |                                      |                   |                                                   |-0.19     | 7.85|32.20    |10.49 |-4.09      |       |            |  14.52|       8|        -6| 0.0       |         |   WOLF RAYET STAR WN6|
|WR 102d |FMM95-1       |          |17 46 14.20|-28 49 16.8|40.60|WN9             |qF 320         |           |              |  0.16832| -0.05550|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM95          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -8| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 102e |FMM96-2       |          |17 46 14.90|-28 50 00.8|43.00|WC8             |qF 151         |           |              |  0.15921| -0.06404|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.49   |             |       |      |         |                                      |                   |                                                   |-0.36     | 7.85|32.20    |10.78 |-3.74      |       |            |  14.52|       8|        -8| 0.0       |         |   WOLF RAYET STAR WC8|
|WR 102f |FMM96-3       |          |17 46 15.17|-28 49 40.3|43.00|WC<8+?          |qF 235N        |           |              |  0.16457| -0.06193|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.50   |             |       |      |         |~ 700                                 |var.               |GM99                                               |-0.35     | 7.85|32.20    |10.78 |-3.74      |       |            |  14.52|       8|        -8| 0.0       |         |    WOLF RAYET STAR WC|
|WR 102g |FMM99-1       |          |17 46 15.18|-28 49 42.5|43.00|WC<8            |qF 235S        |           |              |  0.16408| -0.06227|FM99p     |FM99     |Quintuplet      |              |FM99                  |                                                           |                                                               |FM99          |         | 7.50   |             |       |      |         |                                      |                   |                                                   |-0.35     | 7.85|32.20    |10.78 |-3.74      |       |            |  14.52|       8|        -8| 0.0       |         |    WOLF RAYET STAR WC|
|WR 102h |FMM95-2       |          |17 46 15.60|-28 50 18.6|42.10|WC9             |qF 76          |           |              |  0.15631| -0.06879|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|       -10| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 102i |FMM96-4       |          |17 46 16.60|-28 49 32.1|40.60|WN9+?           |qF 256         |           |              |  0.16925| -0.06519|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.51   |             |       |      |         |~ 700                                 |var.               |GM99                                               |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|       -10| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 102j |FMM96-5       |          |17 46 17.60|-28 49 29.2|40.60|WN9             |qF 274         |           |              |  0.17183| -0.06789|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|       -10| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 102k |FMM96-6       |          |17 46 17.60|-28 49 18.9|43.00|WC<8            |qF 309         |           |              |  0.17428| -0.06641|FM99p     |FM99     |Quintuplet      |              |FM96                  |                                                           |                                                               |FM96          |         | 7.50   |             |       |      |         |                                      |                   |                                                   |-0.35     | 7.85|32.20    |10.78 |-3.74      |       |            |  14.52|       8|       -10| 0.0       |         |    WOLF RAYET STAR WC|
|WR 102l |SMSNPL 17^c   |          |18 00 34.32|-22 47 39.2|15.53|WN8             |               |           |              |  6.99762|  0.22641|SM99      |SM99     |                |              |                      |                                                           |                                                               |SM99*         |         | 1.80   |             |SM99   |      |         |                                      |                   |                                                   |-0.27     | 2.07| 8.49    | 7.04 |-5.48      |       |            |  12.52|    3.19|        13| 4.9       |         |   WOLF RAYET STAR WN8|
|WR 103  |              |V4072 Sgr |18 01 43.14|-32 42 55.2|8.86 |WC9d+?          |HD 164270      |LSS 4552   |HIP 88287     |358.48479| -4.89149|Hip       |VI       |                |              |                      |                                                           |MY94                                                           |VI            |         |-0.02   |             |TM88   |1100  |EW94     |1.7556                                |SB1, no d.e.l.     |IM81,GH86,MLC86,SD87,BE89,CM89,SH89,SS90,NG99a,t.w.|-0.45     | 0.43| 1.76    | 7.10 |-4.62      |       |            |  11.72|    2.21|      -188| 5.8       |         |WOLF RAYET STAR WC9-11|
|WR 104  |Ve2-45        |V1946 Sgr |18 02 04.07|-23 37 41.2|13.54|WC9d+B0.5V (+VB)|IRC -20 417    |           |              |  6.44332| -0.48509|L2        |VI       |Bo 14?          |Sgr OB1?      |VI,LS84,TM99          |Anon(WR 104) (r), S 28                                     |VI,MC93                                                        |WH00          |         | 1.31   |             |VI     |1220  |HS92     |243.5 +- 3.0                          |SB2, VB            |Cr97,MT99,TM99,WS99,WH00,TM01,Wi01,WM01            |-0.45     | 1.76| 7.22    | 6.32 |-4.16      |-0.95  |-5.49       |  11.81|     2.3|       -20| 5.7       |Y        |WOLF RAYET STAR WC9-11|
|WR 105  |Ve2-47        |          |18 02 23.46|-23 34 37.7|12.92|WN9h            |NS 4, AS 268   |LSS 4569   |GSC 6842-1547 |  6.52420| -0.52430|GSC       |VI       |                |Sgr OB1:      |VI,LS84               |Anon(WR 105) (r:), v. diff.                                |MC93,MY94                                                      |SS96          |         | 1.84   |:            |Ma84   |700   |BC99     |                                      |                   |MMEv98                                             |-0.26     | 2.10| 8.63    | 4.29 |-6.71      |       |            |     11|    1.58|       -14| 6.4       |         |WOLF RAYET STAR WN9-11|
|WR 106  |IC14-8        |          |18 04 43.66|-21 09 30.7|12.33|WC9d            |HDE 313643     |LSS 4628   |GSC 6263-1874 |  8.89569|  0.19515|GSC       |VI       |                |              |                      |poss. diff. emission                                       |MC93                                                           |VI            |         | 0.80   |             |SS90   |1100  |TC86o    |                                      |                   |                                                   |-0.45     | 1.25| 5.13    | 7.21 |-4.62      |       |            |  11.83|    2.32|         8| 5.7       |         |WOLF RAYET STAR WC9-11|
|WR 107  |DA 1          |          |18 04 46.10|-21 51 27.0|14.10|WN8             |AD2-11         |           |              |  8.29111| -0.15577|VIp       |VI       |                |              |                      |poss. diff. emission                                       |MC93                                                           |SS96*         |         | 1.32   |:            |HH88   |      |         |                                      |                   |                                                   |-0.27     | 1.59| 6.52    | 7.58 |-5.48      |       |            |  13.06|    4.09|       -11| 4.0       |         |   WOLF RAYET STAR WN8|
|WR 107a |SMSNPL 18     |          |18 05 11.48|-22 13 22.4|16.43|WC6             |               |           |              |  8.02059| -0.42022|SM99      |SM99     |                |              |                      |                                                           |                                                               |SM99          |         | 1.32   |             |SM99   |      |         |                                      |                   |                                                   |-0.32     | 1.64| 6.72    | 9.71 |-3.63      |       |            |  13.34|    4.66|       -34| 3.5       |         |   WOLF RAYET STAR WC6|
|WR 108  |LS 14         |          |18 05 25.74|-23 00 20.3|10.16|WN9h+OB         |HDE 313846     |LSS 4637   |HIP 88597     |  7.36477| -0.85111|Hip       |VI       |                |Sgr OB1?      |LS84,CH95a            |poss. diff. emission                                       |MC93                                                           |SS96,t.w.     |         | 0.80   |             |Cr98   |1210  |BC99     |                                      |a, d.e.l.          |CM89,t.w.                                          |-0.11     | 0.90| 3.72    | 6.44 |-6.71      | 0.38  |-7.29       |  13.73|    5.57|       -83| 2.6       |Y        |WOLF RAYET STAR WN9-11|
|WR 109  |NS 5          |V617 Sgr  |18 07 51.50|-35 10 20.0|14.48|WN5h+?          |               |           |              |356.93539| -7.19001|VIp       |VI       |                |              |                      |                                                           |MY94                                                           |SS96          |         | 0.00   |             |HH88   |      |         |0.207                                 |SB1                |SC88,SD98,CD99,SC99                                |-0.20     | 0.20| 0.82    |13.66 |-4.05      |       |            |  17.71|   34.83|     -4359|26.9       |         |   WOLF RAYET STAR WN5|
|WR 11   |gamma^2 Vel   |          |08 09 31.96|-47 20 11.8|1.74 |WC8+O7.5III-V   |HD 68273       |LSS  980   |HIP 39953     |262.80258| -7.68581|Hip       |VI       |Hipparcos par.  |Vel OB2?      |LS84,HS97,ZH99,PJ00   |Anon(WR 11)(r), HI bubble, IRAS shell, Gum nebula          |VI,HB82,MY94,Ma96,Ma97,DG98                                    |DS99          |         |-0.32   |             |VI     |1450  |EW94     |78.53                                 |SB2, VB            |SSS97,DS99,NG99a,SSK99,TC99,DS00                   |-0.34     | 0.02| 0.08    | 1.66 |-3.68      |-1.47  |-5.40       |   7.06|    0.26|       -35| 8.0       |Y        |   WOLF RAYET STAR WC8|
|WR 110  |              |          |18 07 56.96|-19 23 56.8|10.30|WN5-6           |HD 165688      |LSS 4678   |HIP 88828     | 10.80006|  0.39444|Hip       |VI       |                |Sgr OB1?      |LS84                  |poss. ejecta shell, IRAS shell                             |MC93,Ma96                                                      |SS96*         |         | 0.75   |             |Ma84   |2100  |EW94     |                                      |                   |                                                   |-0.18     | 0.93| 3.83    | 6.47 |-4.07      |       |            |  10.54|    1.28|         9| 6.8       |         |   WOLF RAYET STAR WN5|
|WR 111  |              |          |18 08 28.47|-21 15 11.2|8.23 |WC5             |HD 165763      |LSS 4685   |HIP 88856     |  9.23901| -0.61337|Hip       |VI       |                |Sgr OB1:      |VI,LS84               |                                                           |                                                               |VI            |         |-0.02   |             |Ma84   |2300  |HM99     |                                      |                   |NG99a                                              |-0.28     | 0.26| 1.05    | 7.18 |-3.82      |       |            |     11|    1.58|       -17| 6.5       |Y        |   WOLF RAYET STAR WC5|
|WR 112  |GL 2104       |          |18 16 33.49|-18 58 42.5|18.80|WC9d+OB?        |IRAS 18136-1859|           |              | 12.14564| -1.18610|L2        |VI       |                |              |                      |S 34, RCW 149, poss. diff. emission                        |VI,MC93                                                        |MC83,t.w.     |         | 1.30   |             |MC83   |      |         |                                      |d.e.l., VB         |CM89,SS90,WM01,t.w.                                |-0.45     |     |12.24    | 6.56 |-4.62      |-1.71  |-6.53       |  13.09|    4.15|       -86| 4.0       |Y        |WOLF RAYET STAR WC9-11|
|WR 113  |              |CV Ser    |18 19 07.36|-11 37 59.2|9.43 |WC8d+O8-9IV     |HD 168206      |LS IV-11 14|HIP 89769     | 18.90727|  1.75118|Hip       |VI       |                |Ser OB2:      |VI,LS84               |S 54, RCW 167 (double shell, r:)                           |VI,GR84,MC93,ER95                                              |VI            |         | 0.46   |             |Ma84   |1700  |EW94     |29.704 +- 0.002                       |SB2                |SM89,LM96,NM96,NG99a                               |-0.33     | 0.79| 3.23    | 6.20 |-3.30      |-1.52  |-5.06       |  11.26|    1.79|        55| 6.3       |Y        |   WOLF RAYET STAR WC8|
|WR 114  |IC14-17       |          |18 23 16.39|-13 43 25.8|12.95|WC5+OB?         |HD 169010      |LSS 4994   |GSC 5702-1056 | 17.53862| -0.12582|GSC       |VI       |                |Ser OB1:      |VI,LS84,HM93          |poss. diff. emission                                       |MC93                                                           |VI,t.w.       |         | 0.91   |             |Ma84   |2000  |EW94     |                                      |d.e.l.             |CM89,SS90,t.w.                                     |-0.26     | 1.17| 4.81    | 8.14 |-2.85      | 0.56  |-3.36       |   11.5|       2|        -5| 6.1       |Y        |   WOLF RAYET STAR WC5|
|WR 115  |IC14-19       |          |18 25 30.01|-14 38 40.9|12.32|WN6+OB?         |               |LSS 5023   |HIP 90299     | 16.97717| -1.03365|Hip       |VI       |                |Ser OB1:      |VI,LS84,HM93          |S 50, in neb.                                              |VI,MC93                                                        |SS96*,t.w.    |         | 1.10   |             |Ma84   |1280  |HK95     |                                      |d.e.l.             |CM89,t.w.                                          |-0.20     | 1.30| 5.36    | 6.96 |-3.37      |-0.72  |-4.54       |   11.5|       2|       -36| 6.1       |Y        |   WOLF RAYET STAR WN6|
|WR 116  |AS 306        |          |18 27 04.28|-12 22 52.3|13.38|WN8h            |               |LS IV-12 59|GSC 5698-3822 | 19.15788| -0.31636|GSC       |VI       |                |              |                      |Anon(WR 116) (r:)                                          |VI,MC93,ER95                                                   |SS96          |         | 1.41   |             |Ma84   |800   |HK95     |                                      |                   |MMEv98                                             |-0.27     | 1.68| 6.89    | 6.49 |-5.48      |       |            |  11.97|    2.48|       -14| 5.7       |Y        |   WOLF RAYET STAR WN8|
|WR 117  |IC14-22       |          |18 31 02.54|-06 35 49.5|14.19|WC9d            |               |LS IV-6 7  |GSC 5124-1254 | 24.73626|  1.50061|GSC       |VI       |Do 29?          |              |LS84                  |                                                           |                                                               |SS90          |         | 1.15   |             |VI     |2000  |TC86o    |                                      |                   |                                                   |-0.41     | 1.56| 6.41    | 7.78 |-4.62      |       |            |   12.4|    3.02|        79| 5.4       |         |WOLF RAYET STAR WC9-11|
|WR 118  |GL 2179       |          |18 31 42.30|-09 59 15.0|22.00|WC9d            |IRAS 18289-1001|           |              | 21.80559| -0.21247|VIp       |VI       |                |              |                      |Anon(WR 118) (r:)                                          |MC93                                                           |CV90          |(:       | 3.00   |(:           |HH88   |      |         |                                      |                   |                                                   |-0.45     | 3.45|14.15    | 7.86 |-4.62      |       |            |  12.48|    3.13|       -11| 5.2       |         |WOLF RAYET STAR WC9-11|
|WR 119  |The 2         |          |18 39 17.91|-10 05 31.1|12.41|WC9d            |Th20-1         |LS IV-10 1 |GSC 5696-0847 | 22.57262| -1.92043|GSC       |VI       |                |              |                      |                                                           |                                                               |WH00          |         | 0.63   |             |Ma84   |1200  |TC86o    |                                      |                   |                                                   |-0.45     | 1.08| 4.43    | 7.98 |-4.62      |       |            |   12.6|    3.31|      -111| 5.1       |         |WOLF RAYET STAR WC9-11|
|WR 12   |Ve5-5         |          |08 44 47.25|-45 58 55.5|10.99|WN8h+?          |CD-45 4482     |LSS 1145   |GSC 8151-4295 |265.19946| -1.96900|GSC       |VI       |                |Bo 7?         |VI,LS84               |ext.diff.H-alpha, fil. [OIII], HI bubble, IRAS shell       |DG92,MC94,Ma96                                                 |SS96          |         | 0.42   |             |TM88   |1100  |HK95     |23.923                                |SB1, no d.e.l.     |Ni82,CM89,SM89,LM96,RVG96,t.w.                     |-0.30     | 0.72| 2.96    | 8.03 |-5.48      |       |            |  13.51|    5.04|      -173| 9.8       |Y        |   WOLF RAYET STAR WN8|
|WR 120  |Vy1-3         |          |18 41 00.88|-04 26 14.3|12.30|WN7             |Th14-4         |LS IV-4 14 |GSC 5121-0128 | 27.79553|  0.29008|GSC       |VI       |Do 33?          |              |Tu80b,LS84            |                                                           |                                                               |SS96*         |         | 1.02   |             |Ma84   |1225  |CS95b    |                                      |                   |MMEv98                                             |-0.18     | 1.21| 4.95    | 7.35 |-5.41      |       |            |  12.76|    3.56|        18| 5.1       |         |   WOLF RAYET STAR WN7|
|WR 121  |AS 320        |          |18 44 13.15|-03 47 57.8|12.41|WC9d            |               |LS IV-3 9  |HIP 91911     | 28.72824| -0.12883|Hip       |VI       |                |Anon. Sct OB? |Tu80b,LS84            |Anon(WR 121)                                               |VI                                                             |VI            |         | 0.97   |             |Ma84   |1100  |TC86o    |                                      |                   |MMH98                                              |-0.43     | 1.40| 5.72    | 6.69 |-4.62      |       |            |  11.31|    1.83|        -4| 6.5       |         |WOLF RAYET STAR WC9-11|
|WR 121a |W43#1         |          |18 47 36.00|-01 56 32.9|38.49|WN7+a/OB?       |               |           |              | 30.76572| -0.03217|BD99      |BD99     |W 43 cluster    |              |SB78,BD99             |W 43                                                       |BD99                                                           |BD99          |         | 7.04   |             |       |      |         |                                      |d.e.l.             |BD99                                               |-0.20     | 7.24|29.70    | 8.79 |           |       |-4.81       |   13.6|     5.3|        -3| 4.4       |         |   WOLF RAYET STAR WN7|
|WR 123  |              |V1402 Aql |19 03 59.02|-04 19 01.9|11.26|WN8             |HD 177230      |LS IV-4 33 |HIP 93626     | 30.50964| -4.75424|Hip       |VI       |                |              |                      |HI bubble, IRAS shell                                      |Ar92,Ma96                                                      |SS96*         |         | 0.43   |             |Ma84   |970   |CS95b    |2.349                                 |SB1?, no d.e.l.    |MS86,CM89,MM98,MMH98,MMEv98,t.w.                   |-0.27     | 0.70| 2.87    | 8.39 |-5.48      |       |            |  13.87|    5.94|      -492| 4.2       |Y        |   WOLF RAYET STAR WN8|
