objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,class
1237674602678452411,20.36197,20.00215,20.25333,20.54809,20.47471,STAR
1237648721781194762,18.67951,17.76046,17.55988,17.45676,17.44561,STAR
1237674602141581578,19.95956,18.71828,18.93647,19.12163,19.20554,STAR
1237648704589201441,17.68367,16.59419,16.18793,16.03418,15.98387,STAR
1237648703516115209,19.20539,18.24311,18.00934,17.90706,17.91481,STAR
1237648704590118945,19.07258,17.93781,17.96989,18.08257,18.15118,STAR
1237674603753767077,20.16405,19.37526,19.08974,18.99815,18.94262,STAR
1237648703516705785,24.62709,23.65004,22.09665,19.28866,17.67105,STAR
1237674604290638114,19.89903,18.74299,18.49407,18.38309,18.37632,STAR
1237655693547274435,21.65405,19.01292,17.59376,16.89381,16.49411,STAR
1237674604290507007,19.39411,18.2747,17.88239,17.74722,17.73928,STAR
1237648720171958553,19.80783,18.7013,18.1376,17.5797,17.12866,STAR
1237655693547471041,19.68024,17.13159,15.90773,15.4474,15.18943,STAR
1237648720171958641,24.04218,20.853,19.98243,19.49916,19.06251,STAR
1237655693547471065,21.34154,18.85199,17.65456,17.19981,16.91883,STAR
1237655693547471067,19.56201,18.57591,18.25651,18.17391,18.18266,STAR
1237674603753767190,23.3595,20.44629,19.20725,18.72374,18.45187,STAR
1237648702979834133,20.86298,19.89528,19.59935,19.45121,19.39559,STAR
1237648704053379488,23.36239,20.71916,19.27131,16.86929,15.67229,STAR
1237648702979702880,18.88667,17.66953,17.52995,17.50814,17.53832,STAR
1237648721784012917,19.22872,18.09101,17.65588,17.50256,17.44583,STAR
1237648721784145033,24.69078,25.90491,22.97606,20.44965,18.54028,STAR
1237648703518802019,18.42516,18.57071,18.43024,18.40806,18.35974,STAR
1237648720174055655,20.19242,18.99215,18.89789,18.84963,18.91008,STAR
1237648721247928353,18.9362,17.8234,17.74419,17.75441,17.7986,STAR
1237648721784537384,19.71801,18.3345,17.8142,17.60511,17.50498,STAR
1237648704592478229,16.94285,15.9874,15.68572,15.57937,15.56211,STAR
1237648705666220294,20.47247,19.2713,19.12289,19.11265,19.11388,STAR
1237648722321539143,17.50742,16.3357,15.93271,15.77839,15.70274,STAR
1237648704592740424,19.03954,17.83057,17.30989,17.13742,17.05074,STAR
1237648705129545834,18.70255,17.71797,17.34371,17.17482,17.1185,STAR
1237648721784799563,23.82923,20.98602,19.38115,17.30277,16.14353,STAR
1237648702982717576,22.34697,19.81022,18.73786,18.52602,18.06255,STAR
1237648705131118696,18.43803,17.35825,17.17337,17.13696,17.16753,STAR
1237648705131118610,18.95988,17.82082,17.37332,17.20241,17.13798,STAR
1237648722322980967,17.92701,16.83425,16.4437,16.30341,16.26301,STAR
1237655693551992921,24.63464,20.25043,18.94418,17.08384,16.62059,STAR
1237648703521554443,18.34138,18.38044,18.66985,18.91562,19.13387,STAR
1237648703521292624,19.30395,18.21375,17.79748,17.63016,17.56896,STAR
1237648704058425563,20.98137,18.75268,17.78893,17.43885,17.21639,STAR
1237655693551730771,18.99049,17.7628,17.32509,17.16847,17.11466,STAR
1237655551280939745,20.17206,18.93542,18.84442,18.86839,18.86013,STAR
1237655550744199213,25.84748,21.94672,20.5688,18.97256,18.12062,STAR
1237655550744068262,17.68984,16.5656,16.09583,15.90658,15.82624,STAR
1237648705142522142,24.68789,23.59434,21.27369,19.84538,19.6204,STAR
1237655550744199472,17.88153,16.93153,16.62304,16.5011,16.45996,STAR
1237648704605716609,17.84346,17.91655,18.32713,18.61249,18.87212,STAR
1237648704605718734,24.39484,24.56649,22.54021,19.83251,18.06808,STAR
1237648704605716596,18.31204,17.37666,17.4654,17.55529,17.64252,STAR
1237648705142456585,18.07529,16.81557,16.27098,16.02779,15.9137,STAR
1237648705142652972,19.17192,19.39944,19.80519,20.06937,20.37938,STAR
1237655560403878412,20.34302,18.87322,18.37326,18.07976,18.05152,STAR
1237648674534392127,19.66957,17.72224,17.40855,17.36875,17.0591,STAR
1237655560403878471,24.23071,19.82414,18.66917,17.97569,17.50183,STAR
1237648705142655302,23.93486,24.46659,22.83795,20.18239,18.42765,STAR
1237655550744396211,20.32412,19.1026,18.92952,18.89421,18.85061,STAR
1237655550744330871,19.56433,18.43182,18.29713,18.28397,18.33589,STAR
1237648704605782225,19.05178,17.79362,17.54937,17.46153,17.3914,STAR
1237655550744331075,20.16629,18.12395,17.22171,16.89606,16.70142,STAR
1237648704605847682,17.3438,16.13526,16.01716,15.98038,15.97556,STAR
1237655551818269147,19.07932,17.49937,16.87375,16.64287,16.52237,STAR
1237648675608200283,22.92875,20.36712,19.35047,19.04122,18.85978,STAR
1237648705679524005,16.67842,15.47694,15.36089,15.35116,15.38431,STAR
1237655560404140554,19.85407,17.67991,16.77143,16.41538,16.22428,STAR
1237648675608133705,20.03415,19.64071,17.63946,17.46428,17.20011,STAR
1237648675608199253,17.70554,16.52928,16.01862,15.81514,15.72117,STAR
1237655551281201805,19.86439,18.12268,17.41266,17.14004,17.00402,STAR
1237655560404075048,20.50856,18.65119,17.92881,17.57887,17.408,STAR
1237655551281332812,23.34517,21.32074,20.2234,19.66604,19.25901,STAR
1237648675071263322,19.54016,17.90658,17.25911,17.01049,16.87026,STAR
1237648675071197670,16.98021,15.71432,15.50255,15.45817,15.40867,STAR
1237651225707479193,21.56167,18.90475,17.54585,16.8293,16.39328,STAR
1237651212822511787,19.04403,19.02526,19.38775,19.68209,19.83511,STAR
1237651212822577292,21.93536,19.00098,17.50955,16.36359,15.75052,STAR
1237651212822773970,19.79563,18.10211,17.37133,17.12729,16.98256,STAR
1237651212822642994,19.27748,18.04646,17.57036,17.39151,17.30526,STAR
1237651212822381555,18.47029,18.48144,17.75828,17.8644,17.74655,STAR
1237671766931472417,18.0398,17.0694,16.77837,16.65628,16.63566,STAR
1237651226244415540,18.16456,16.95698,16.55072,19.33838,16.34053,STAR
1237651213359448289,21.01147,18.40441,17.03923,16.33194,15.91932,STAR
1237651226244481133,23.6054,20.51612,19.0032,18.03548,17.46012,STAR
1237651226244612113,18.35976,17.21216,16.84076,16.70115,16.67936,STAR
1237651212822708969,25.5191,22.1806,20.19439,19.23028,18.76871,STAR
1237651213359317111,18.16484,16.95484,16.5377,16.39536,16.37294,STAR
1237651213896777958,19.74918,18.87141,18.5203,18.38061,18.33605,STAR
1237651213896843563,21.29895,18.87057,17.77744,17.38207,17.17421,STAR
1237651226781746348,24.96736,24.15972,24.86747,20.93639,19.44893,STAR
1237651226781745282,18.24989,17.02429,16.44198,16.11483,15.95679,STAR
1237651213360037981,16.16421,15.09154,15.08095,15.12026,15.21174,STAR
1237651311071133848,25.36915,17.06766,15.64318,15.05995,20.30362,STAR
1237651298186035896,24.04959,21.41455,20.06045,19.22178,18.75192,STAR
1237651297649492007,15.99317,14.81656,15.07845,15.25107,15.37781,STAR
1237651297112621169,21.20835,18.68191,17.28055,16.61646,16.25676,STAR
1237651213896974383,16.96513,15.83842,15.46926,15.35028,15.32723,STAR
1237651310534393946,16.93723,15.73412,15.5075,15.40136,15.34932,STAR
1237651297112555632,18.15563,16.86208,15.88504,15.62536,15.60347,STAR
1237651310534393936,19.78731,18.2402,17.38868,17.21884,17.14717,STAR
1237651298186231874,18.56175,17.52526,17.15101,17.03784,17.03529,STAR
1237651298186297488,18.74286,17.45443,16.9501,16.73793,16.64648,STAR
1237651311071199409,20.40851,20.0103,20.0312,20.10006,20.00754,STAR
1237651298186100955,20.08375,18.41438,17.64246,17.32424,17.11616,STAR
1237651311607742728,19.02649,17.76192,17.24822,17.04324,16.9808,STAR
1237651310534525917,23.09463,23.43444,21.9413,19.82,18.07442,STAR
1237651310534459543,18.25886,18.0051,18.20589,17.77409,17.18375,STAR
1237651311608004641,19.71567,18.0652,17.3917,17.12161,17.03551,STAR
1237651298723037532,18.76457,17.59384,17.08898,16.92352,16.84646,STAR
1237651311608135771,18.3849,17.22182,17.35944,17.50666,17.61388,STAR
1237651311608136189,25.26368,25.19371,23.84489,20.49142,18.81712,STAR
1237651297649688710,17.80211,16.77626,16.41393,16.28482,16.25717,STAR
1237651297649688680,16.65195,15.48637,15.52589,15.585,15.67241,STAR
1237651297649557860,20.24464,19.86571,19.92566,20.06179,20.37685,STAR
